Suburb/Town Name,Postcode,Local Government Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,%_crime_change,crime_quartile,%_property_incr
Merrigum,3618,Greater Shepparton,1.0,0.0,1.0,12.0,26.0,1.0,2.0,4.0,13.0,8.0,636.36,4.0,54.83
Yarragon,3823,Baw Baw,4.0,2.0,17.0,8.0,39.0,27.0,13.0,49.0,29.0,30.0,634.15,4.0,130.62
Eagle Point,3878,East Gippsland,2.0,3.0,2.0,1.0,13.0,6.0,8.0,6.0,6.0,15.0,619.05,4.0,85.9
Campbells Creek,3451,Mount Alexander,2.0,5.0,8.0,15.0,7.0,5.0,2.0,20.0,10.0,15.0,619.05,4.0,81.94
Ashwood,3147,Monash,15.0,42.0,50.0,93.0,39.0,65.0,32.0,106.0,104.0,108.0,615.89,4.0,81.94
South Geelong,3220,Greater Geelong,3.0,4.0,12.0,10.0,11.0,7.0,18.0,27.0,23.0,22.0,612.9,4.0,154.46
Rushworth,3612,Campaspe,5.0,4.0,9.0,11.0,34.0,12.0,15.0,23.0,37.0,36.0,607.84,4.0,126.71
Rochester,3561,Campaspe,7.0,8.0,24.0,26.0,17.0,39.0,43.0,47.0,63.0,50.0,605.63,4.0,103.17
Clayton,3168,Monash,23.0,81.0,59.0,78.0,80.0,95.0,109.0,108.0,144.0,162.0,601.73,4.0,67.83
Trafalgar,3824,Baw Baw,14.0,21.0,47.0,42.0,36.0,35.0,49.0,90.0,68.0,98.0,595.74,4.0,89.05
Wallan,3756,Mitchell,43.0,158.0,207.0,363.0,182.0,238.0,287.0,225.0,190.0,299.0,593.97,4.0,83.02
Eltham,3095,Nillumbik,23.0,61.0,68.0,123.0,51.0,81.0,145.0,119.0,79.0,159.0,588.74,4.0,104.28
Kennington,3550,Greater Bendigo,10.0,22.0,13.0,79.0,88.0,31.0,78.0,94.0,59.0,69.0,584.16,4.0,69.27
Box Hill South,3128,Whitehorse,3.0,18.0,41.0,18.0,15.0,34.0,20.0,42.0,14.0,21.0,580.65,4.0,84.46
Bunyip,3815,Cardinia,2.0,33.0,9.0,38.0,6.0,23.0,8.0,16.0,22.0,14.0,571.43,4.0,125.56
Narre Warren North,3804,Casey,5.0,10.0,31.0,37.0,12.0,28.0,49.0,28.0,43.0,34.0,568.63,4.0,114.23
Tooradin,3980,Casey,10.0,29.0,34.0,12.0,10.0,17.0,13.0,20.0,52.0,67.0,564.36,4.0,62.98
New Gisborne,3438,Macedon Ranges,4.0,4.0,9.0,8.0,16.0,14.0,22.0,23.0,19.0,27.0,560.98,4.0,64.0
Lara,3212,Greater Geelong,44.0,46.0,63.0,79.0,113.0,97.0,208.0,293.0,224.0,288.0,553.29,4.0,118.57
Drysdale,3222,Greater Geelong,3.0,24.0,19.0,59.0,29.0,5.0,13.0,27.0,27.0,20.0,548.39,4.0,106.41
Lancefield,3435,Macedon Ranges,3.0,9.0,28.0,17.0,13.0,44.0,43.0,24.0,14.0,20.0,548.39,4.0,65.56
Mooroopna,3629,Greater Shepparton,60.0,138.0,213.0,184.0,184.0,192.0,265.0,526.0,349.0,389.0,547.42,4.0,90.6
Golden Beach,3851,Wellington,1.0,0.0,1.0,5.0,1.0,6.0,11.0,8.0,14.0,7.0,545.45,4.0,121.24
Strathmerton,3641,Moira,1.0,6.0,4.0,11.0,5.0,35.0,22.0,7.0,5.0,7.0,545.45,4.0,56.02
Ripponlea,3185,Port Phillip,1.0,28.0,1.0,5.0,4.0,29.0,24.0,8.0,7.0,7.0,545.45,4.0,67.51
Rosedale,3847,Wellington,10.0,4.0,20.0,36.0,14.0,28.0,27.0,78.0,49.0,65.0,544.55,4.0,95.35
Croydon,3136,Maroondah,55.0,227.0,230.0,358.0,480.0,229.0,313.0,391.0,330.0,353.0,540.83,4.0,93.72
Coburg North,3058,Merri-bek,15.0,38.0,77.0,77.0,95.0,144.0,204.0,81.0,67.0,95.0,529.8,4.0,100.74
Huntly,3163,Greater Bendigo,5.0,5.0,1.0,18.0,6.0,30.0,33.0,36.0,44.0,32.0,529.41,3.0,62.37
Kialla,3631,Greater Shepparton,12.0,37.0,67.0,49.0,43.0,37.0,41.0,140.0,53.0,76.0,528.93,3.0,72.92
Sunshine West,3020,Brimbank,50.0,71.0,150.0,124.0,116.0,203.0,269.0,205.0,245.0,314.0,526.95,3.0,102.86
Pearcedale,3912,Casey,2.0,12.0,6.0,25.0,50.0,23.0,41.0,11.0,21.0,13.0,523.81,3.0,155.84
Nyah West,3595,Swan Hill,3.0,3.0,6.0,6.0,6.0,5.0,13.0,33.0,34.0,19.0,516.13,3.0,122.34
Watsonia North,3087,Banyule,4.0,3.0,32.0,27.0,21.0,24.0,20.0,17.0,11.0,25.0,512.2,3.0,92.25
Dunolly,3472,Central Goldfields,4.0,1.0,1.0,9.0,12.0,14.0,20.0,18.0,2.0,25.0,512.2,3.0,129.59
Aspendale Gardens,3195,Kingston,4.0,1.0,7.0,27.0,13.0,15.0,13.0,23.0,20.0,25.0,512.2,3.0,97.27
East Bendigo,3550,Greater Bendigo,6.0,8.0,18.0,16.0,23.0,33.0,63.0,30.0,34.0,37.0,508.2,3.0,75.96
Safety Beach,3936,Mornington Peninsula,6.0,25.0,24.0,25.0,19.0,38.0,27.0,25.0,33.0,37.0,508.2,3.0,175.73
Newborough,3825,Latrobe,36.0,87.0,163.0,180.0,193.0,171.0,166.0,160.0,122.0,219.0,506.93,3.0,93.66
